-5000	Infinity
-4999.9	Infinity
-4999.8	-Infinity
-4999.7	-Infinity
-4999.6	-Infinity
-4999.5	-Infinity
-4999.4	-Infinity
-4999.3	-Infinity
-4999.2	-Infinity
-4999.1	-Infinity
-4999.0	-Infinity
-4998.9	-Infinity
-4998.8	-Infinity
-4998.7	-Infinity
-4998.6	-Infinity
-4998.5	-Infinity
-4998.4	-Infinity
-4998.3	-Infinity
-4998.2	Infinity
-4998.1	Infinity
-4998.0	Infinity
-4997.9	Infinity
-4997.8	Infinity
-4997.7	Infinity
-4997.6	Infinity
-4997.5	Infinity
-4997.4	Infinity
-4997.3	Infinity
-4997.2	Infinity
-4997.1	Infinity
-4997.0	Infinity
-4996.9	Infinity
-4996.8	Infinity
-4996.7	-Infinity
-4996.6	-Infinity
-4996.5	-Infinity
-4996.4	-Infinity
-4996.3	-Infinity
-4996.2	-Infinity
-4996.1	-Infinity
-4996.0	-Infinity
-4995.9	-Infinity
-4995.8	-Infinity
-4995.7	-Infinity
-4995.6	-Infinity
-4995.5	-Infinity
-4995.4	-Infinity
-4995.3	-Infinity
-4995.2	-Infinity
-4995.1	Infinity
-4995.0	Infinity
-4994.9	Infinity
-4994.8	Infinity
-4994.7	Infinity
-4994.6	Infinity
-4994.5	Infinity
-4994.4	Infinity
-4994.3	Infinity
-4994.2	Infinity
-4994.1	Infinity
-4994.0	Infinity
-4993.9	Infinity
-4993.8	Infinity
-4993.7	Infinity
-4993.6	Infinity
-4993.5	-Infinity
-4993.4	-Infinity
-4993.3	-Infinity
-4993.2	-Infinity
-4993.1	-Infinity
-4993.0	-Infinity
-4992.9	-Infinity
-4992.8	-Infinity
-4992.7	-Infinity
-4992.6	-Infinity
-4992.5	-Infinity
-4992.4	-Infinity
-4992.3	-Infinity
-4992.2	-Infinity
-4992.1	-Infinity
-4992.0	-Infinity
-4991.9	Infinity
-4991.8	Infinity
-4991.7	Infinity
-4991.6	Infinity
-4991.5	Infinity
-4991.4	Infinity
-4991.3	Infinity
-4991.2	Infinity
-4991.1	Infinity
-4991.0	Infinity
-4990.9	Infinity
-4990.8	Infinity
-4990.7	Infinity
-4990.6	Infinity
-4990.5	Infinity
-4990.4	-Infinity
-4990.3	-Infinity
-4990.2	-Infinity
-4990.1	-Infinity
-4990.0	-Infinity
-4989.9	-Infinity
-4989.8	-Infinity
-4989.7	-Infinity
-4989.6	-Infinity
-4989.5	-Infinity
-4989.4	-Infinity
-4989.3	-Infinity
-4989.2	-Infinity
-4989.1	-Infinity
-4989.0	-Infinity
-4988.9	-Infinity
-4988.8	Infinity
-4988.7	Infinity
-4988.6	Infinity
-4988.5	Infinity
-4988.4	Infinity
-4988.3	Infinity
-4988.2	Infinity
